,Real Entropy,RoG,Jump (median),Num_of_loc,Num_of_days,Frequency (top1),Random Entropy,RoG k2,RoG k4,RoG k8,Median from Home
12770,1.903677461028802,1409.058845225231,6418.375624895601,6,29 days 23:30:59,0.9501053755628298,2.584962500721156,1153.0633298827893,1589.116942505024,1409.058845225231,6418.375624895601
12771,1.2661040819858724,1148.91421596715,5363.437856829977,6,29 days 23:44:54,0.7372333848173783,2.584962500721156,1230.6931849809937,1181.49219262347,1148.91421596715,5363.437856829977
12772,0.7716723222772439,3948.026127800756,12512.300678851045,4,29 days 23:57:50,0.6296940047147427,2.0,4065.5879066832017,3948.026127800756,3948.026127800756,12512.300678851045
12773,1.5358008562199312,308.21385585017725,2304.528057298137,8,29 days 23:40:19,0.8963918359406813,3.0,335.3861885512082,329.87459392417435,308.21385585017725,2304.528057298137
12774,1.8764662506490404,512.3371358002387,5239.97288307653,6,25 days 06:59:45,0.5243043495173177,2.584962500721156,493.8351291420405,499.1873453982319,512.3371358002387,5239.97288307653
12775,1.1130434782608696,3497.0236536757984,12837.094091086412,8,29 days 23:38:06,0.6834066343817815,3.0,3771.394884094904,3641.3529393205554,3497.0236536757984,12837.094091086412
12777,2.4157768080452287,1384.2653587857649,6129.27510453635,30,29 days 21:25:02,0.5564269513091329,4.906890595608519,1631.3962501413223,1605.6114610709778,1544.3050446130824,6129.27510453635
12778,2.2352822218249946,698.2456421891727,3968.816784523304,13,23 days 11:41:10,0.7088829973340167,3.700439718141092,258.8727744926797,785.3905982144208,736.5493659992668,3968.816784523304
12780,2.4093333165607227,1859.2139598601304,4062.566353343516,14,29 days 23:36:00,0.8246498826508554,3.807354922057604,2411.785622799672,2238.6192179474865,2055.030968698696,3955.985821998483
12781,1.6309162622216464,1347.642077733673,386.6230525471402,5,29 days 23:20:11,0.9488340140662052,2.321928094887362,1654.995261169326,1380.4232759759004,1347.642077733673,15721.886480319845
12782,1.5609756097560976,4565.155680084887,18216.700030002765,13,29 days 16:27:01,0.633377533948763,3.700439718141092,5236.832672985121,5162.266482167165,4754.026943470878,18216.700030002765
12783,2.2238564532770257,1367.5662971136223,545.6188539217717,18,29 days 23:49:32,0.8989392491699377,4.169925001442312,40.14454088971174,1490.7120314494368,1481.6196040907698,23709.490000784863
12784,0.520945336562895,568.0403092889151,5458.981541286373,2,29 days 23:35:15,0.93726498398967,1.0,568.0403092889151,568.0403092889151,568.0403092889151,5458.981541286373
12787,1.3004276934964802,3888.23482893689,15767.641045597988,8,28 days 20:58:03,0.676196935642725,3.0,4241.356847861041,4098.208080466197,3888.23482893689,15767.641045597988
12791,3.1408491686571507,250.29843744852292,7605.227121691327,17,29 days 23:50:46,0.956108674462057,4.087462841250339,187.31768573202532,257.93603533616846,276.6056427698024,7953.787743687558
12792,1.7236282039449349,291.0398401639367,932.5599422176168,5,29 days 23:21:24,0.9868458854439384,2.321928094887362,21.328556296103983,300.6253836924336,291.0398401639367,932.5599422176168
12794,1.60352387786114,2011.56989192874,14957.403695895076,5,23 days 14:10:59,0.824549775077652,2.321928094887362,2268.908453829462,2093.650658347712,2011.56989192874,14957.403695895076
12795,2.477425231450624,2789.2393585274863,3485.3660046715195,18,29 days 23:37:14,0.4580454051016083,4.169925001442312,3765.960946202268,3516.860387812595,3188.4178146617487,9280.609773043358
12796,2.249735102568101,869.0685166073014,4893.698075886726,14,28 days 20:49:15,0.7647740417095169,3.807354922057604,959.830467919578,1026.0613463652774,924.6227270761914,4941.140398164716
12797,2.2611547191510115,672.6243725028324,1455.6868993269372,18,29 days 23:21:51,0.8174344550415085,4.169925001442312,181.5870046270724,767.9655886220149,766.7354545144187,1455.6868993269372
12799,1.793183977049975,1892.227245170756,2385.0417239298786,11,29 days 23:36:43,0.7999299776924523,3.4594316186372973,2237.9202070268498,2160.4525121082984,1971.9648065853648,9303.513930963209
12801,2.203999468913669,2979.866891541835,9067.54894769584,13,27 days 00:16:57,0.4982819989742126,3.700439718141092,4493.185554809141,3435.8922052077623,3142.587449449585,9135.641328021802
12802,3.14118119588707,3215.239500315083,5790.572146375588,25,25 days 03:32:02,0.2719966014980287,4.643856189774724,4730.333276047642,4033.887979402695,3799.308393720988,15975.353716224969
12803,2.4102495827246435,1291.7922085543923,7530.159015625502,16,29 days 23:58:57,0.7963418863961585,4.0,863.4096563296846,1175.7501694139075,1400.3222002931486,12251.014782826416
12804,1.3851535763707328,2235.064709632732,3619.451957659763,9,29 days 22:09:30,0.449981627387956,3.169925001442312,1161.2390876797945,2358.5209959015,2256.858957565972,3619.451957659763
12806,2.118031093053737,379.3030158315288,5460.813323492263,14,29 days 16:59:48,0.8325132422311464,3.807354922057604,266.34879192770063,338.6052969549631,381.76350942925706,5460.813323492263
12807,1.52384523116175,2024.8327015843165,3869.064899523675,14,29 days 22:40:02,0.5524118333241858,3.807354922057604,2549.885318888391,2160.6817954794583,2116.013366423267,1920.0809158452853
12808,1.0340309177189766,2435.5563711163086,3566.650293503787,6,29 days 20:25:45,0.6418584453375052,2.584962500721156,1057.8515442518965,2491.533901874848,2435.5563711163086,3566.650293503787
12809,2.612216529211698,2015.6348600506603,3746.186780271879,16,28 days 19:23:21,0.6604292244157395,4.0,2026.2714472132243,2262.171465589275,2188.413573686664,15525.78570539768
12810,1.3112401903663595,2263.1703174908,8747.360817354369,10,29 days 23:32:40,0.7190128013094705,3.321928094887362,2475.5628326233723,2425.675867956605,2306.2045237580373,8747.360817354369
12811,1.909025465552619,364.5308631957108,238.2990223084228,14,28 days 22:43:34,0.682279667366916,3.807354922057604,38.25301687507028,388.79807350111554,382.58829645303774,350.62834805456095
12813,1.053847147502448,1864.0378424488056,6669.656383058251,5,22 days 19:10:43,0.7449350024342042,2.321928094887362,1986.923566929866,1887.3886064602736,1864.0378424488056,6669.656383058251
12816,2.199181188632904,325.84458027243494,2786.474871051886,13,24 days 16:41:27,0.7848189542327436,3.700439718141092,305.06346068273086,369.91410846454505,336.43896201393306,2873.8609869419224
12817,1.7246847599867978,5402.897550476426,21651.4670726951,11,29 days 23:31:38,0.7358029848303168,3.4594316186372973,6372.330922710831,5936.0401464754295,5598.96511430967,24166.058095455177
